,Outils FR,,Code,Code icône,,Tools EN,,Code,,Herramientas ES,,Codigo,,Werkzeuge DE,,Code,,Attrezzi IT,,Codice
,Clé araignée,,T16,IT16,,Spider wrench,,,,Llave de araña,,,,Dreiarmige Ölfilterkralle,,,,Chiave a ragno,,
,Clé à filtre à sangle,,T17,IT17,,Filter wrench strap type,,,,Llave de correa para filtros,,,,Band-Ölfilterschlüssel,,,,Chiave a nastro per filtri,,
,Clé à goujon de roue ,,T18,IT18,,Wheel lug wrench,,,,Llave cruz,,,,Kreuzschlüssel,,,,Chiave a croce per cerchioni,,
,Clé dynamométrique,,T19,IT19,,Torque wrench,,,,Llave dinamométrica o de torsión,,,,Drehmomentschlüssel,,,,Chiave dinamometrica,,
,Clé à filtre à sangle (facultatif),,T17.1,IT17,,Filter wrench strap type  (optional),,,,Llave de correa para filtros (opcional),,,,Band-Ölfilterschlüssel (optional),,,,Chiave a nastro per filtri (opzionale),,
,Clé à oeil,,T97,IT97,,Ring spanner,,,,Llave poligonal,,,,Ringschlüssel,,,,Chiave poligonale,,
,Clé à oeil de 18,,T97.18,IT97.18,,18mm Ring spanner,,,,Llave poligonal del 18,,,,18er Ringschlüssel,,,,Chiave poligonale da 18,,
,Clé à tuyauter,,T98,IT98,,open Ring spanner,,,,Llave para tuercas abocinadas,,,,Offener Ringschlüssel,,,,Chiave poligonale aperta,,
,Clé à molette,,T101,IT101,,Adjustable spanner,,,,Llave inglesa,,,,Schraubenschlüssel,,,,Chiave regolabile,,
,Clé contre-coudée,,T102,IT102,,Offset wrench,,,,Llave acodada,,,,"Ringschlüssel, gekröpft",,,,Chiave stella contraacodada,,
,Clé contre-coudée de 14,,T102,IT102,,14mm Offset wrench,,,,Llave acodada del 14,,,,"14er ringschlüssel, gekröpft",,,,Chiave stella contraacodada da 14,,
,Clé contre-coudée de 18,,T102,IT102,,18mm Offset wrench,,,,Llave acodada del 18 ,,,,"18er ringschlüssel, gekröpft",,,,Chiave stella contraacodada da 18,,
,Cloche à filtre,,T103,IT103,,Cup type oil filter wrench,,,,Llave filtro cazoleta,,,,Ölfilterschlüssel,,,,Chiavi per filtro olio a tazza,,
,,,,,,,,,,,,,,,,,,,,
,Tournevis,,,,,Screwdrivers,,,,Destornilladores,,,,Schraubenzieher,,,,Cacciaviti,,
,Tournevis ,,T20,IT20,,Screwdriver,,,,Destornillador,,,,Schraubenzieher,,,,Cacciavite,,
,Tournevis plat,,T21,IT20,,Flat head screwdriver,,,,Destornillador plano,,,,Flachschraubenzieher,,,,Cacciavite a taglio,,
,Tournevis plat (facultatif),,T22,IT20,,Flat head screwdriver (optional),,,,Destornillador plano (opcional),,,,Flachschraubenzieher (optional),,,,Cacciavite a taglio (opzionale),,
,Tournevis cruciforme ,,T23,IT23,,Phillips screwdriver,,,,Destornillador de estrella,,,,Kreuzschlitzschraubenzieher,,,,Cacciavite a stella,,
,Tournevis épais,,T24,IT20,,Thick screwdriver,,,,Destornillador ancho,,,,Breiter Schraubenzieher,,,,Cacciavite grosso,,
,Tournevis plat fin,,T25,IT20,,Thin flat head screwdriver,,,,Destornillador plano fino,,,,Schmaler Flachschraubenzieher,,,,Cacciavite a taglio sottile,,
,Tournevis plat moyen,,T26,IT20,,Mid flat head screwdriver,,,,Destornillador plano mediano,,,,Mittelgroßer Flachschraubenzieher,,,,Cacciavite a taglio medio,,
,Tournevis plat long,,T27,IT20,,Long flat head screwdriver,,,,Destornillador plano largo,,,,Langer Flachschraubenzieher,,,,Cacciavite a taglio lungo,,
,Petit tournevis plat,,T28,IT20,,Small flat head screwdriver,,,,Destornillador plano pequeño,,,,Kleiner Flachschraubenzieher,,,,Cacciavite a taglio piccolo,,
,Gros tournevis plat,,T29,IT20,,Big flat head screwdriver,,,,Destornillador plano grande,,,,Breiter Flachschraubenzieher,,,,Cacciavite a taglio grande,,
,Petit tournevis cruciforme,,T30,IT23,,Small Phillips screwdriver,,,,Destornillador de estrella pequeño,,,,Kleiner Kreuzschlitzschraubenzieher,,,,Cacciavite a stella piccolo,,
,Tournevis plat (si enjoliveurs),,T31,IT20,,Flat head screwdriver (if hubcaps),,,,Destornillador plano (si tapacubos),,,,Flachschraubenzieher (bei Radkappen),,,,Cacciavite a taglio (se borchie),,
,Tournevis Torx,,T32,IT32,,Torx screwdriver,,,,Destornillador Torx,,,,Torx Schraubenzieher,,,,Cacciavite Torx,,
,Tournevis Torx 15,,T32.15,IT32,,Torx T15 screwdriver,,,,Destornillador Torx 15,,,,15er Torx Schraubenzieher,,,,Cacciavite Torx 15,,
,Tournevis Torx 20,,T32.20,IT32,,Torx T20 screwdriver,,,,Destornillador Torx 20,,,,20er Torx Schraubenzieher,,,,Cacciavite Torx 20,,
,Tournevis Torx 25,,T32.25,IT32,,Torx T25 screwdriver,,,,Destornillador Torx 25,,,,25er Torx Schraubenzieher,,,,Cacciavite Torx 25,,
,Tournevis Torx 30,,T32.30,IT32,,Torx T30 screwdriver,,,,Destornillador Torx 30,,,,30er Torx Schraubenzieher,,,,Cacciavite Torx 30,,
,Tournevis Torx 40,,T32.40,IT32,,Torx T40 screwdriver,,,,Destornillador Torx 40,,,,40er Torx Schraubenzieher,,,,Cacciavite Torx 40,,
,Tournevis Torx 45,,T32.45,IT32,,Torx T45 screwdriver,,,,Destornillador Torx 45,,,,45er Torx Schraubenzieher,,,,Cacciavite Torx 45,,
,Tournevis à embout,,T33,IT33,,Multi-bit screwdriver,,,,Destornillador multipuntas,,,,Einsatzschraubenzieher,,,,Cacciavite multipunta,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Douilles,,,,,Socket,,,,Casquillo,,,,Steckschlüsseleinsätze,,,,Bussole,,
,Douille,,T34,IT34,,Socket,,,,Casquillo,,,,Steckschlüsseleinsatz,,,,Bussola,,
,Douille de 5,,T34.4,IT34,,5mm Socket,,,,Casquillo del 5,,,,5 mm Steckschlüsseleinsatz,,,,Bussola da 5,,
,"Douille de 5,5",,T34.5,IT34,,"5,5mm Socket",,,,"Casquillo del 5,5",,,,5.5 mm Steckschlüsseleinsatz,,,,"Bussola da 5,5",,
,Douille de 6,,T34.6,IT34,,6mm Socket,,,,Casquillo del 6,,,,6 mm Steckschlüsseleinsatz,,,,Bussola da 6,,
,Douille de 7,,T34.7,IT34,,7mm Socket,,,,Casquillo del 7,,,,7 mm Steckschlüsseleinsatz,,,,Bussola da 7,,
,Douille de 8,,T34.8,IT34,,8mm Socket,,,,Casquillo del 8,,,,8 mm Steckschlüsseleinsatz,,,,Bussola da 8,,
,Douille de 9,,T34.9,IT34,,9mm Socket,,,,Casquillo del 9,,,,9 mm Steckschlüsseleinsatz,,,,Bussola da 9,,
,Douille de 10,,T34.10,IT34,,10mm Socket,,,,Casquillo del 10,,,,10 mm Steckschlüsseleinsatz,,,,Bussola da 10,,
,Douille de 11,,T34.11,IT34,,11mm Socket,,,,Casquillo del 11,,,,11 mm Steckschlüsseleinsatz,,,,Bussola da 11,,
,Douille de 12,,T34.12,IT34,,12mm Socket,,,,Casquillo del 12,,,,12 mm Steckschlüsseleinsatz,,,,Bussola da 12,,
,Douille de 13,,T34.13,IT34,,13mm Socket,,,,Casquillo del 13,,,,13 mm Steckschlüsseleinsatz,,,,Bussola da 13,,
,Douille de 14,,T34.14,IT34,,14mm Socket,,,,Casquillo del 14,,,,14 mm Steckschlüsseleinsatz,,,,Bussola da 14,,
,Douille de 15,,T34.15,IT34,,15mm Socket,,,,Casquillo del 15,,,,15 mm Steckschlüsseleinsatz,,,,Bussola da 15,,
,Douille de 16,,T34.16,IT34,,16mm Socket,,,,Casquillo del 16,,,,16 mm Steckschlüsseleinsatz,,,,Bussola da 16,,
,Douille de 17,,T34.17,IT34,,17mm Socket,,,,Casquillo del 17,,,,17 mm Steckschlüsseleinsatz,,,,Bussola da 17,,
,Douille de 18,,T34.18,IT34,,18mm Socket,,,,Casquillo del 18,,,,18 mm Steckschlüsseleinsatz,,,,Bussola da 18,,
,Douille de 19,,T34.19,IT34,,19mm Socket,,,,Casquillo del 19,,,,19 mm Steckschlüsseleinsatz,,,,Bussola da 19,,
,Douille de 20,,T34.20,IT34,,20mm Socket,,,,Casquillo del 20,,,,20 mm Steckschlüsseleinsatz,,,,Bussola da 20,,
,Douille de 21,,T34.21,IT34,,21mm Socket,,,,Casquillo del 21,,,,21 mm Steckschlüsseleinsatz,,,,Bussola da 21,,
,Douille de 22,,T34.22,IT34,,22mm Socket,,,,Casquillo del 22,,,,22 mm Steckschlüsseleinsatz,,,,Bussola da 22,,
,Douille de 23,,T34.23,IT34,,23mm Socket,,,,Casquillo del 23,,,,23 mm Steckschlüsseleinsatz,,,,Bussola da 23,,
,Douille de 24,,T34.24,IT34,,24mm Socket,,,,Casquillo del 24,,,,24 mm Steckschlüsseleinsatz,,,,Bussola da 24,,
,Douille de 25,,T34.25,IT34,,25mm Socket,,,,Casquillo del 25,,,,25 mm Steckschlüsseleinsatz,,,,Bussola da 25,,
,Douille de 26,,T34.26,IT34,,26mm Socket,,,,Casquillo del 26,,,,26 mm Steckschlüsseleinsatz,,,,Bussola da 26,,
,Douille de 27,,T34.27,IT34,,27mm Socket,,,,Casquillo del 27,,,,27 mm Steckschlüsseleinsatz,,,,Bussola da 27,,
,Douille de 28,,T34.28,IT34,,28mm Socket,,,,Casquillo del 28,,,,28 mm Steckschlüsseleinsatz,,,,Bussola da 28,,
,Douille de 29,,T34.29,IT34,,29mm Socket,,,,Casquillo del 29,,,,29 mm Steckschlüsseleinsatz,,,,Bussola da 29,,
,Douille de 30,,T34.30,IT34,,30mm Socket,,,,Casquillo del 30,,,,30 mm Steckschlüsseleinsatz,,,,Bussola da 30,,
,Douille de 31,,T34.31,IT34,,31mm Socket,,,,Casquillo del 31,,,,31 mm Steckschlüsseleinsatz,,,,Bussola da 31,,
,Douille de 32,,T34.32,IT34,,32mm Socket,,,,Casquillo del 32,,,,32 mm Steckschlüsseleinsatz,,,,Bussola da 32,,
,Douille Torx 15,,T35.15,IT35,,Torx T15 socket,,,,Casquillo Torx 15,,,,Torx Steckschlüsseleinsatz 15,,,,Bussola Torx 15,,
,Douille Torx 18,,T35.18,IT35,,Torx T18 socket,,,,Casquillo Torx 18,,,,Torx Steckschlüsseleinsatz 18,,,,Bussola Torx 18,,
,Douille Torx 20,,T35.20,IT35,,Torx T20 socket,,,,Casquillo Torx 20,,,,Torx Steckschlüsseleinsatz 20,,,,Bussola Torx 20,,
,Douille Torx 25,,T35.25,IT35,,Torx T25 socket,,,,Casquillo Torx 25,,,,Torx Steckschlüsseleinsatz 25,,,,Bussola Torx 25,,
,Douille Torx 30,,T35.30,IT35,,Torx T30 socket,,,,Casquillo Torx 30,,,,Torx Steckschlüsseleinsatz 30,,,,Bussola Torx 30,,
,Douille Torx 35,,T35.35,IT35,,Torx T35 socket,,,,Casquillo Torx 35,,,,Torx Steckschlüsseleinsatz 35,,,,Bussola Torx 35,,
,Douille Torx 40,,T35.40,IT35,,Torx T40 socket,,,,Casquillo Torx 40,,,,Torx Steckschlüsseleinsatz 40,,,,Bussola Torx 40,,
,Douille Torx 45,,T35.45,IT35,,Torx T45 socket,,,,Casquillo Torx 45,,,,Torx Steckschlüsseleinsatz 45,,,,Bussola Torx 45,,
,Douille Torx 50,,T35.50,IT35,,Torx T50 socket,,,,Casquillo Torx 50,,,,Torx Steckschlüsseleinsatz 50,,,,Bussola Torx 50,,
,Douille Torx 55,,T35.55,IT35,,Torx T55 socket,,,,Casquillo Torx 55,,,,Torx Steckschlüsseleinsatz 55,,,,Bussola Torx 55,,
,Douille Allen de 6,,T36.6,IT36,,6mm Allen socket,,,,Casquillo Allen del 6,,,,6mm Imbusschlüssel-Einsatz,,,,Bussola brugola da 6,,
,Douille Allen de 7,,T36.7,IT36,,7mm Allen socket,,,,Casquillo Allen del 7,,,,7mm Imbusschlüssel-Einsatz,,,,Bussola brugola da 7,,
,Douille Allen de 8,,T36.8,IT36,,8mm Allen socket,,,,Casquillo Allen del 8,,,,8mm Imbusschlüssel-Einsatz,,,,Bussola brugola da 8,,
,Douille à embout,,T37,IT37,,Hexagon bit socket,,,,Estuche de destornillador multipuntas,,,,Bit-Einsatz,,,,Inserto bussola,,
,Douille à bougie de 14,,T38.14,IT38,,14mm Spark plug socket,,,,Casquillo de bujías del 14,,,,14mm Zündkerzenschlüssel-Einsatz,,,,Bussola per candela da 14,,
,Douille à bougie de 16,,T38.16,IT38,,16mm Spark plug socket,,,,Casquillo de bujías del 16,,,,16mm Zündkerzenschlüssel-Einsatz,,,,Bussola per candela da 16,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Pinces,,,,,Pilers,,,,Alicates,,,,Zangen,,,,Pinze,,
,Pince multiprise,,T39,IT39,,Adjustable pliers,,,,Llave sueca,,,,Verstellbare Zange,,,,Chiave svedese,,
,Pince universelle,,T40,IT40,,Lineman's pliers,,,,Alicates,,,,Universalzange,,,,Pinze universali,,
,Pince coupante,,T41,IT41,,Wire cutters,,,,Pelacables,,,,Seitenschneider,,,,Taglia fili,,
,Pince à dénuder,,T42,IT42,,Wire strippers,,,,Pelacables,,,,Abisolierzange,,,,Spelafili,,
,Pince à becs plats,,T43,IT43,,Needlenose pliers,,,,Pinzas afiladas,,,,Flachrundzange,,,,Pinze piatte,,
,Pince universelle (facultatif),,T92,IT40,,Lineman's pliers (optional),,,,Alicates (opcional),,,,Universalzange (optional),,,,Pinze universali (facoltativo),,
,Pince-étau,,T93,IT93,,Locking pliers,,,,Alicates de bloqueo,,,,Feststellzange,,,,Pinze di chiusura,,
,Tenailles,,T100,IT100,,Pincers,,,,Tenazas,,,,Beißzange,,,,Tenaglie,,
,Pince à rivets,,T104,IT104,,Rivet pliers,,,,Alicates remachadora,,,,Nietzange,,,,Pinza per ribattini,,
,Pince à collier d'échappement,,T106,IT106,,Exhaust clamp pliers ,,,,Escape pinza alicate ,,,,Auspuffschellen-Zange,,,,Pinza per Anelli Stringitubo,,
,,,,,,,,,,,,,,,,,,,,
,Embouts,,,,,Socket,,,,Casquillo,,,,Einsätze,,,,Bussole,,
,Embout cruciforme,,T44,IT44,,Phillips head bit,,,,Punta de estrella,,,,Kreuzschlitzeinsatz,,,,Bussola a croce,,
,Embout Torx 15,,T45.15,IT45,,Torx T15 bit,,,,Punta Torx 15,,,,Torx Einsatz 15,,,,Bussola Torx 15,,
,Embout Torx 20,,T45.20,IT45,,Torx T20 bit,,,,Punta Torx 20,,,,Torx Einsatz 20,,,,Bussola Torx 20,,
,Embout Torx 25,,T45.25,IT45,,Torx T25 bit,,,,Punta Torx 25,,,,Torx Einsatz 25,,,,Bussola Torx 25,,
,Embout Torx 30,,T45.30,IT45,,Torx T30 bit,,,,Punta Torx 30,,,,Torx Einsatz 30,,,,Bussola Torx 30,,
,Embout Torx 35,,T45.35,IT45,,Torx T35 bit,,,,Punta Torx 35,,,,Torx Einsatz 35,,,,Bussola Torx 35,,
,Embout Torx 40,,T45.40,IT45,,Torx T40 bit,,,,Punta Torx 40,,,,Torx Einsatz 40,,,,Bussola Torx 40,,
,Embout Torx 45,,T45.45,IT45,,Torx T45 bit,,,,Punta Torx 45,,,,Torx Einsatz 45,,,,Bussola Torx 45,,
,Embout Torx 50,,T45.50,IT45,,Torx T50 bit,,,,Punta Torx 50,,,,Torx Einsatz 50,,,,Bussola Torx 50,,
,Embout Torx 55,,T45.55,IT45,,Torx T55 bit,,,,Punta Torx 55,,,,Torx Einsatz 55,,,,Bussola Torx 55,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Outils de levage,,,,,Lifting tools,,,,herramientas de izamiento,,,,Hebewerkzeug,,,,Attrezzi da sollevamento,,
,Cric hydraulique,,T46,IT46,,Hydraulic jack ,,,,Gato,,,,Hydraulischer Wagenheber,,,,Cric idraulico,,
,Chandelle,,T47,IT47,,Axle stand,,,,Borriqueta,,,,Unterstellbock,,,,Cavalletto,,
,Taquet de bois,,T48,IT48,,Wooden peg,,,,Taco de madera,,,,Holzblock,,,,Zeppa di legno,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Outils,,,,,Tools,,,,Herramientas,,,,Werkzeug,,,,Attrezzi,,
,Bac de récupération,,T49,IT49,,Liquid collector,,,,Cubeta de recuperación,,,,Auffangbehälter,,,,Contenitore per recupero liquidi,,
