,Outils FR,,Code,Code icône,,Tools EN,,Code,,Herramientas ES,,Codigo,,Werkzeuge DE,,Code,,Attrezzi IT,,Codice
,Pommade de protection,,T88,IT88,,Protective cream,,,,Crema protectora,,,,Schutzcreme,,,,Crema di protezione,,
,Marc de café,,T89,IT89,,Coffee ground,,,,Posos de café,,,,Kaffeesatz,,,,Fondi di caffè,,
,Chiffon ou essuie-tout,,T90,IT90,,Piece of tissue or paper towel,,,,Trapo o papel de cocina,,,,Putzlappen oder Haushaltspapier,,,,Straccio o carta assorbente,,
,Essuie-tout (facultatif),,T91,IT63,,Paper towel (optional),,,,Papel de cocina (opcional),,,,Haushaltspapier (optional),,,,Carta assorbente (facoltativa),,
,Compresseur de ressort,,T95,IT95,,Spring compressor,,,,Compresor de muelles,,,,Federspanner,,,,Compressore molle,,
,Barre de fer,,T94,IT94,,Iron bar,,,,Barra de hierro,,,,Eisenstange,,,,Barra di ferro,,
,Extracteur de rotule axiale,,T96,IT96,,Tie rod end wrench removal tool,,,,Extractor de rótulas de dirección axiales,,,,Axialgelenk-Lösewerkzeug,,,,Estrattore di giunto assiale,,
,Correcteur blanc,,T99,IT99,,Correction fluid,,,,Corrector líquido,,,,Korrekturflüssigkeit,,,,Bianchetto,,
,Ficelle,,T105,IT105,,Piece of string,,,,Trozo de cuerda,,,,Schnur,,,,Spago ,,
,Repousse-piston,,T107,IT107,,Brake caliper windback tool,,,,Resetter de pistón,,,,Bremskolbenrücksteller,,,,Ripristino pistone del freno,,
